#{"t_start": 1761400245.0864158, "env_id": "None"}
r,l,t
14.997145,192,81.160975
22.851429,146,81.765376
32.397144,169,81.798867
16.86286,161,82.236028
28.21143,172,82.424677
18.225714,186,83.09316
17.171427,166,83.094164
5.200001,98,83.101199
27.100002,148,83.214422
25.345713,166,83.249608
24.520002,142,83.673713
4.3428574,92,84.593016
14.582855,145,84.601024
31.479998,168,84.767754
21.805714,118,85.043844
23.228573,114,85.44698
3.0114284,156,85.456019
19.705713,166,85.636272
26.257143,163,85.636272
29.671429,147,86.568142
29.811428,154,86.70313
26.388573,129,86.7583
29.86,166,86.953027
8.882856,116,86.975231
16.325714,109,87.095893
23.43143,117,87.157897
25.794289,134,87.296375
10.337143,140,88.45776
21.231424,145,88.687352
25.805712,126,88.853044
27.38,129,88.924887
31.62286,144,88.93392
24.357141,158,89.085107
14.297146,162,89.140207
22.848576,208,89.488468
31.405714,137,90.634412
21.265717,168,90.655452
19.597145,159,91.063578
20.820002,163,91.094814
34.46286,189,91.518145
26.55143,170,91.725033
8.148575,188,91.807195
35.688572,189,92.217681
19.420002,110,92.432246
26.348572,131,92.668997
23.128572,123,93.122914
27.645716,145,93.297927
23.602856,117,93.370804
26.208572,151,93.733507
9.805715,98,93.972783
25.551428,126,94.142704
29.917141,224,94.394282
12.865722,170,94.567356
11.797144,126,94.831031
11.2085705,129,95.200653
10.942858,118,95.604653
22.331429,112,95.637068
3.4628587,179,95.760495
21.722857,117,96.022629
31.72,173,96.063944
19.04,149,96.506454
27.537144,150,96.876029
5.771429,110,97.25161
30.285711,161,97.327898
15.68,143,97.538102
27.482857,142,97.563189
17.24,114,97.681896
11.81143,129,97.750537
18.937145,108,98.032578
18.462856,93,98.205614
6.191428,95,98.886953
24.61143,135,99.59873
24.594284,125,99.745463
12.111429,132,99.989204
8.02,113,99.998256
4.7428565,101,100.361883
22.431429,135,100.424276
15.128575,177,100.44639
29.577145,183,100.44639
21.765713,125,101.363281
10.388572,102,101.70311
28.642855,175,101.963192
23.545715,153,101.996256
22.38,128,102.153866
25.491428,134,102.228659
26.225714,137,102.339039
32.50857,206,102.833041
20.914286,113,102.931734
25.134285,137,103.997124
22.717144,125,104.054796
12.608571,146,104.218498
22.374287,137,104.218498
21.034288,182,104.233515
27.408573,166,104.287916
26.168571,143,104.876051
19.49143,137,104.937013
3.8285713,91,105.613384
22.74,113,105.635442
7.257144,113,105.875096
20.737143,124,106.336578
18.002857,98,106.5672
27.679998,148,106.790456
31.782858,196,107.214951
34.565712,158,107.447735
20.614285,124,107.647802
24.537144,131,107.779219
15.311428,130,108.025816
10.822857,132,108.213554
7.771429,124,108.373255
30.874287,143,108.819613
7.6171446,114,108.834781
21.217144,126,109.271381
11.808572,111,109.649219
5.600001,101,109.676318
17.668573,139,109.694597
8.097143,107,109.883639
26.52286,156,110.053472
13.177143,129,110.752414
26.114286,128,110.760479
7.1114283,107,111.21944
6.4514294,86,111.337658
17.331429,118,111.385403
19.348572,102,111.400913
11.442858,170,111.81091
25.731428,149,111.857972
11.851427,113,112.423538
19.591429,112,112.423538
23.760002,105,112.833026
8.065713,115,112.934629
16.65143,118,113.114993
24.791428,139,113.46102
12.385715,105,113.476147
12.365715,112,113.49121
3.4857144,104,114.245514
2.9714284,88,114.449238
14.097143,134,114.69927
6.1257143,101,115.057613
15.780001,125,115.271283
5.0285716,112,115.52886
6.742859,123,115.726008
4.0,96,115.854187
12.137142,148,116.114981
24.788574,127,116.522152
11.217141,122,116.742493
4.742858,94,117.013245
26.774284,126,117.013245
8.454285,115,117.029384
4.9714293,95,117.258207
19.457142,125,117.680127
10.665715,95,118.246466
29.071426,138,118.286253
14.094286,135,118.698547
12.728572,106,118.764125
7.314287,114,118.918059
20.814285,117,118.944294
4.114286,102,118.965417
6.894287,123,119.646371
4.6857147,103,120.239567
26.688572,138,120.307553
25.154285,120,120.537724
9.2228565,115,120.680835
29.94286,161,120.739615
24.408573,135,120.92648
11.408572,95,121.653352
11.788573,91,121.788474
31.905714,190,121.845029
16.645714,155,122.055075
6.5714293,103,122.713769
9.908572,119,122.761663
26.539999,134,123.265615
2.857143,88,123.419225
7.9657183,173,123.640815
19.842857,138,124.106973
10.64,107,124.328881
9.122862,176,124.820532
27.302858,166,124.846017
22.574286,110,125.044139
18.56857,160,125.19997
26.197144,137,125.425699
20.508572,126,125.512886
5.2571435,102,125.676539
5.600001,100,125.866287
9.085714,123,126.843462
11.74857,126,126.844463
5.600001,113,126.859833
4.4571433,94,126.868882
10.434285,90,127.138966
10.851428,116,127.15715
20.011429,97,127.263017
4.5714293,97,127.447396
2.857143,87,128.25424
6.457143,104,128.474851
5.314286,103,128.491984
16.059998,101,128.527035
10.117143,108,128.685754
3.2000003,102,128.735731
11.877145,134,128.885315
20.234285,110,129.066364
8.571429,112,129.791948
6.1142864,97,130.11223
11.060001,111,130.152424
12.485714,117,130.159431
10.665713,99,130.697892
7.8857155,120,130.874036
16.62857,164,131.090262
25.162857,145,131.113464
23.217144,99,131.512667
5.2000003,103,131.900069
3.5428576,95,132.202677
9.085715,124,132.218691
12.940001,94,132.278076
15.48,138,132.478071
11.068572,126,133.041921
16.6,146,133.272248
8.822857,117,133.296304
20.545713,98,133.641094
5.3428564,114,133.660348
7.9657154,110,133.839983
22.119999,118,134.053327
9.497144,116,134.217769
12.314287,119,134.798518
6.1714296,106,134.829547
5.257143,103,134.829547
19.94857,85,135.06681
18.674286,106,135.204216
9.171427,125,135.460357
23.354286,112,135.664074
4.5714293,96,136.188817
24.40571,139,136.219845
9.171429,104,136.282004
26.225712,135,137.003309
6.514287,103,137.168432
24.442858,162,137.179888
9.525717,121,137.204191
13.880001,144,137.218293
19.774284,100,137.605543
6.014286,103,137.807919
14.591429,127,138.304776
4.4,97,138.700819
11.068572,96,138.865518
3.3714285,97,138.880635
8.342857,102,139.034644
21.13143,122,139.292458
15.128571,125,139.699379
16.717144,116,139.862073
2.6857147,86,140.104043
10.897144,123,140.21639
3.6,103,140.454825
6.4000006,117,140.48288
14.325716,124,140.855804
5.4857144,108,140.994365
2.4,81,141.054741
29.614288,127,141.656032
9.92,92,141.853429
17.922857,116,141.867533
3.4285717,89,142.280162
15.960001,124,142.280162
4.7428575,98,142.310585
13.457143,160,142.542236
27.82,141,143.137699
5.028572,103,143.257514
24.991428,113,143.677567
4.971429,91,143.718707
4.3428574,93,143.73385
13.117142,160,144.352745
8.857144,120,144.511721
11.094285,141,144.540273
11.685715,107,144.93622
7.3714294,117,145.011599
24.94857,118,145.546657
4.3428574,98,145.899563
26.325714,149,145.948888
3.4857144,96,146.089288
5.6571436,103,146.12332
16.677141,150,146.12332
5.485715,96,146.758026
5.7142863,110,147.036405
2.7428575,90,147.661102
3.7142859,85,147.788962
27.448572,124,147.833975
11.282859,113,148.018026
6.4000006,108,148.061289
12.042857,109,148.191411
4.0571427,105,148.429931
4.3428574,95,148.622136
3.0285716,81,149.1724
7.16,104,149.415147
4.7428575,103,149.712282
9.942857,100,149.738797
8.628572,123,149.738797
6.057143,109,149.944717
2.9142857,82,149.960216
11.325715,118,150.318682
5.6000004,98,150.689747
4.3999996,105,152.494086
3.885714,98,152.65834
22.259998,115,152.867047
3.6571426,99,152.882187
23.485714,120,153.136478
16.777143,151,153.450247
18.614286,118,153.493286
6.000001,96,153.515469
6.1142864,98,154.010885
4.0000005,94,154.049921
4.6857147,96,154.276376
3.885714,102,154.683985
5.8857145,100,155.063655
17.542858,167,155.403028
4.1142864,90,155.414038
15.677141,142,155.605045
11.871428,114,155.666617
27.797144,152,155.81735
25.06,113,156.270468
3.371429,92,156.314615
7.9657135,104,156.926703
9.485714,108,157.336351
3.7714286,93,157.365378
18.257143,109,157.516374
25.142857,132,157.718789
8.908572,100,157.784569
5.428572,96,157.805588
11.568572,121,157.969792
13.122857,106,158.593536
3.8857145,96,159.319759
12.937142,129,159.334869
27.382858,129,159.367265
6.1142864,97,159.401529
5.257143,110,159.541235
13.754285,133,159.744115
14.782858,144,159.744115
10.297144,107,160.173069
10.834287,101,160.908613
5.371429,107,160.92877
19.574287,103,160.962801
6.8,116,161.190567
9.754287,110,161.330139
21.702858,131,161.579665
36.137142,172,161.768335
23.445715,121,161.936306
6.9942856,115,162.518366
5.142858,89,162.568752
14.671429,132,162.772289
15.351429,133,162.899329
3.4285717,95,163.154574
13.894285,120,163.339537
26.694286,150,163.354664
21.651428,115,163.557315
2.0000005,83,164.379491
24.134287,110,164.443783
13.642857,128,164.626725
14.422857,120,164.815409
4.6857142,99,164.859681
27.574284,116,165.302865
22.722858,120,165.403553
23.162859,121,165.625731
5.1428576,95,165.685002
2.4,79,166.030352
8.480001,113,166.350911
12.665714,114,166.524855
15.111427,146,166.593328
2.4571428,81,166.917279
4.571429,108,166.980781
12.839999,113,167.120844
6.5714293,101,167.312257
3.3142858,90,167.395084
10.837143,116,168.114835
6.228572,108,168.329932
22.26,134,168.548692
25.731428,126,168.761429
7.542858,111,168.974352
12.891429,128,169.012641
10.840001,95,169.661246
20.028572,111,169.684267
36.074284,166,169.877355
29.537144,205,170.053009
21.845715,113,170.571325
18.671429,130,170.706544
30.048569,149,170.738099
28.637138,143,171.153453
5.485715,105,171.327453
8.571429,120,171.514712
6.000001,102,171.560944
4.228572,90,172.305631
7.0857153,108,172.788688
19.214285,174,172.969042
25.377142,126,173.009302
17.148571,99,173.141483
21.654285,104,173.371193
5.1428576,103,173.593203
14.031429,120,173.901557
23.64,113,174.163663
2.9714289,84,174.60065
26.10857,131,174.808432
12.957142,122,174.950247
18.925714,119,174.950247
22.8,106,175.159152
14.857143,156,175.374841
20.605715,124,175.773567
5.542858,108,175.802761
2.9714289,93,176.138759
5.9028573,86,176.320918
28.551432,149,177.026328
15.52857,144,177.026328
20.97143,124,177.19334
29.822855,144,177.234527
5.028572,94,177.406166
14.702856,118,177.441216
11.9800005,109,177.812953
14.214285,149,177.905706
24.919998,111,178.536246
6.1714296,100,178.72285
5.371429,104,178.880895
27.137144,126,178.896909
25.542858,122,178.903916
26.520002,139,178.931942
15.994286,150,180.128168
16.84,142,180.161552
21.314285,106,180.357227
3.1999998,86,180.423331
5.485715,98,180.564023
22.434286,137,180.990478
27.902857,128,181.004575
23.625713,140,181.193299
11.231429,112,181.649702
21.577143,107,181.830283
24.385715,111,182.027143
